state_name_crime,district_name,total_crimes,Ranking,state_name_pop,Population,Growth,Sex-Ratio,Literacy,crime_rate_per_capita,safety_score
Haryana,Panchkula,1934.0,536.0,Haryana,561293.0,19.83 %,873.0,81.88,344.56157479248805,96.69375485729897
Haryana,Panipat,5734.0,396.0,Haryana,1205437.0,24.60 %,864.0,75.94,475.67811507362063,95.43562436293571
Haryana,Rewari,2947.0,466.0,Haryana,900332.0,17.64 %,898.0,80.99,327.3236983690461,96.85916112823853
Haryana,Rohtak,5510.0,430.0,Haryana,1061204.0,12.88 %,867.0,80.22,519.2215634317247,95.01780262899123
Haryana,Sirsa,2870.0,378.0,Haryana,1295189.0,15.99 %,897.0,68.82,221.58928156431222,97.87373712147722
Haryana,Sonipat,5256.0,342.0,Haryana,1450001.0,13.35 %,856.0,79.12,362.4825086327527,96.52179429989287
Haryana,Yamunanagar,4463.0,393.0,Haryana,1214205.0,16.57 %,877.0,77.99,367.56560877281845,96.47301934534933
Haryana,Hisar,1582.0,277.0,Haryana,1743931.0,13.45 %,872.0,72.89,90.71459822665001,99.1295468743444
Himachal Pradesh,Solan,583.0,531.0,Himachal Pradesh,580320.0,15.93 %,880.0,83.68,100.4618141714916,99.03601733498152
Himachal Pradesh,Bilaspur,1029.0,152.0,Chhattisgarh,2663629.0,33.29 %,971.0,70.78,38.63150611440257,99.62931087274346
Himachal Pradesh,Bilaspur,1029.0,563.0,Himachal Pradesh,381956.0,12.05 %,981.0,84.59,269.4027584329085,97.41494227255174
Himachal Pradesh,Chamba,648.0,544.0,Himachal Pradesh,519080.0,12.63 %,986.0,72.17,124.83624874778455,98.80213212600984
Himachal Pradesh,Shimla,12.0,483.0,Himachal Pradesh,814010.0,12.67 %,915.0,83.64,1.4741833638407391,99.98585445405779
Himachal Pradesh,Shimla,11.0,483.0,Himachal Pradesh,814010.0,12.67 %,915.0,83.64,1.3513347501873443,99.98703324955297
Himachal Pradesh,Hamirpur,693.0,417.0,Uttar Pradesh,1104285.0,5.80 %,861.0,68.77,62.755538651706765,99.39782839984478
Himachal Pradesh,Hamirpur,693.0,552.0,Himachal Pradesh,454768.0,10.19 %,1095.0,88.15,152.38539211202195,98.53778395692441
